id,unit_no,size,nett_price,spa_price,comm,sale_id,project_id,created_at,updated_at
87,N5-7,1155,651200.0,740000.0,9181.92,,9,2017-04-29 09:10:26.607074,2017-04-29 09:10:26.626987
436,Q15-19,850,283360.0,308000.0,2663.584,,20,2017-05-23 11:57:51.847745,2017-05-23 11:57:51.867564
444,B-19-5,1200,1107100.0,1313340.0,10406.74,,18,2017-05-25 07:03:53.534789,2017-05-25 07:03:53.577709
88,B-27-9,850,430000.0,430000.0,3225.11,,2,2017-04-29 09:10:26.971103,2017-04-29 09:10:26.995667
449,A-41-12,850,448000.0,460000.0,3368.96,,2,2017-05-27 09:49:43.129086,2017-05-27 09:49:43.145702
474,23A-08,,555074.0,664760.0,8870.08252,,7,2017-05-30 11:29:33.667371,2017-05-30 11:29:33.667371
451,10-12,411,596854.8,686040.0,9537.739704,,7,2017-05-27 09:50:40.89944,2017-05-27 09:50:40.89944
484,A-13-07,1244,1337050.0,2057000.0,31420.675,,17,2017-05-31 08:53:16.859362,2017-05-31 08:53:16.859362
506,S2-30-8,836,595798.2,661998.0,2800.25154,,24,2017-06-04 10:32:56.410776,2017-06-04 10:32:56.426314
91,B-23-05,1403,771885.0,908100.0,12334.72,,1,2017-04-29 09:10:27.470196,2017-04-29 09:10:27.487668
92,L 23-3,947,478620.0,531800.0,4499.03,,10,2017-04-29 09:10:27.585132,2017-04-29 09:10:27.600532
93,L34-02,1055,527220.0,585800.0,4955.87,,10,2017-04-29 09:10:27.696418,2017-04-29 09:10:27.716378
94,L24-01,947,480420.0,533800.0,4515.95,,10,2017-04-29 09:10:27.815901,2017-04-29 09:10:27.834561
95,L29-03,947,484920.0,538800.0,4558.25,,10,2017-04-29 09:10:27.928473,2017-04-29 09:10:27.944039
96,L21-03,947,477720.0,530800.0,4490.57,,10,2017-04-29 09:10:28.046515,2017-04-29 09:10:28.075717
102,B-22-8,1000,469000.0,520000.0,3526.88,,6,2017-04-29 09:10:29.20467,2017-04-29 09:10:29.229768
97,B-26-1,1050,492000.0,545550.0,3690.13,,6,2017-04-29 09:10:28.17416,2017-04-29 09:10:28.192702
373,B-13A-6,1000,459000.0,510000.0,3451.68,,6,2017-05-07 07:11:49.047769,2017-05-07 07:11:49.182226
98,C-23A-01,1403,729470.0,858200.0,11656.93,,1,2017-04-29 09:10:28.289736,2017-04-29 09:10:28.307029
378,ABCD,111,888888.0,888888.0,12533.3208,,8,2017-05-08 11:06:07.90818,2017-05-08 11:06:07.950976
99,09-13,411,553169.8,650788.0,8839.65,,7,2017-04-29 09:10:28.584487,2017-04-29 09:10:28.60036
473,23A-08,,0.0,0.0,0.0,,7,2017-05-30 11:27:46.666808,2017-05-30 11:27:46.666808
384,13A-08 ,384,561811.2,645760.0,8977.742976,,7,2017-05-10 08:46:15.741884,2017-05-10 08:46:15.768234
100,C-29-08,1219,754545.0,887700.0,12057.63,,1,2017-04-29 09:10:28.713427,2017-04-29 09:10:28.742944
389,L11-9,1000,482044.0,564800.0,4531.2136,,10,2017-05-11 00:49:25.222389,2017-05-11 00:49:25.289137
395,23-17,384,576601.2,662760.0,9214.087176,,7,2017-05-13 11:22:49.572618,2017-05-13 11:22:49.582292
101,D-35-07,1298,737035.0,867100.0,11777.82,,1,2017-04-29 09:10:29.010625,2017-04-29 09:10:29.02619
402,B-3A-2,1000,459000.0,510000.0,3451.68,,6,2017-05-14 12:16:19.385175,2017-05-14 12:16:19.404006
413,B-23A-3,1000,459000.0,510000.0,3451.68,,6,2017-05-17 06:42:09.499873,2017-05-17 06:42:09.509878
426,C-13-13,900,400000.0,420000.0,3008.0,,12,2017-05-20 08:37:32.702315,2017-05-20 08:37:32.750559
103,C-23-19,900,400000.0,420000.0,3000.1,,12,2017-04-29 09:10:29.405992,2017-04-29 09:10:29.423485
429,B-21-3A,1000,469000.0,520000.0,3526.88,,6,2017-05-21 12:38:52.906,2017-05-21 12:38:52.928614
104,C-38-3A,850,460000.0,460000.0,3450.12,,2,2017-04-29 09:10:29.599358,2017-04-29 09:10:29.617584
431,S1-25-10,753,509506.0,566118.0,2394.6782,,24,2017-05-21 15:00:36.546862,2017-05-21 15:00:36.623877
